,Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
484,2 Park Plaza,Yes,Office,2 Park Plaza,2116,"39,000",Not Available,Not Available,,"Office, Retail Store",1800, Not Available ,Not Available, Not Available ,,,,,,,,500020000,"2016, 2017, "
485,QUINCY CHURCH,Municipal ,K-12 School,20 Church St.,2116,"17,640",43,96,,K-12 School,1999,50.9,2.9,"758,051.50",43.40%,56.60%,,,,,,500745000,"2016, 2017, "
486,Clarendon and Berkeley Buildings,Yes,Financial Office,200 Berkeley St &&,2116,"1,624,928",37.1,97,"2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005",Financial Office,1922,"5,155.00",3.2,"60,337,745.30",100.00%,,0.00%,9032.3,,LEED-EBOM Project #1000006167,,401115000,"2014, 2015, 2016, 2017, "
487,200 Clarendon St.,Yes,Office,200 Clarendon Street,2116,"2,039,631",92,81,"2016, 2009, 2008, 2007, 2006, 2005","Data Center, Office, Parking",1976,"14,336.00",7,"187,654,257.30",52.50%,,47.50%,11.2,,,,401134000,"2014, 2015, 2016, 2017, "
488,Engine 07,Municipal ,Fire Station,200 Columbus Ave,2116,"11,376",101,Not Available,,Fire Station,2000,96.6,8.5,"1,148,891.30",95.80%,4.20%,,17.7,,,,501129000,"2016, 2017, "
489,200 Newbury Street,Yes,Mixed Use Property,200 Newbury Street,2116,"48,000",43.6,51,,"Office, Parking, Retail Store",1995,178.7,3.7,"2,091,147.70",100.00%,,,12.6,,,,503201000,"2016, 2017, "
490,Four Seasons Place - Hotel/Condo Management,Yes,Hotel,200/220 Boylston Street,2116,"798,170",64.5,51,,"Hotel, Multifamily Housing, Parking, Swimming Pool",1980,"3,888.40",4.9,"51,507,326.90",59.00%,16.10%,25.00%,23.4,,Four Seasons Place Assessing Parcel ID is  0501185000.  This benchmarking covers both hotel and condo properties as both are in the same building. ,,501185000,"2014, 2015, 2016, 2017, "
491,Prince on Newbury Street Condo Trust,Yes,Multifamily Housing,201 Newbury Street,2116,"63,257",33.6,Not Available,,"Multifamily Housing, Retail Store",1986,141.9,2.2,"2,124,357.00",42.40%,57.60%,,25,,,,503228000,"2017, "
492,Motor Mart Garage,Yes,Parking,201 Stuart Street,2116,"455,000",Not Available,Not Available,,"Parking, Restaurant",1927, -   ,0, Not Available ,,,,21.1,,,,500139000,"2017, "
493,Trinity Church,Yes,Worship Facility,206 Clarendon Street,2116,"65,880",63284.2,Not Available,,Worship Facility,1877,"276,870.50",4202.6,"4,169,160,403.30",0.10%,0.00%,99.90%,29.4,,,,401091000,"2014, 2017, "
494,216 Tremont,Yes,College/University,216 Tremont Street,2116,"45,388",107.1,Not Available,,College/University,1926,362.5,8,"4,859,248.30",43.00%,,57.00%,12.7,,,,304909000,"2016, 2017, "
495,The Algonquin Club of Boston,Yes,Social/Meeting Hall,217 Commonwealth Avenue,2116,"48,000",122.9,Not Available,,Social/Meeting Hall,1888,415.7,8.7,"5,900,934.90",21.20%,,,13.5,,,,503380000,"2017, "
496,Albert A. Pope Condominium Trust,Yes,Multifamily Housing,221 Columbus Ave,2116,"25,000",363.1,1,,Multifamily Housing,1891,591.2,23.6,"9,078,616.60",37.10%,62.90%,,144.6,,,,401147000,"2016, 2017, "
497,Two Twenty Two Berkeley,Yes,Office,222 Berkeley Street,2116,"524,038",57.7,89,"2016, 2015, 2014, 2012, 2011, 2009, 2008, 2005, 2002, 1999","Office, Parking",1991,"2,583.60",4.9,"30,237,173.60",100.00%,,,10.4,,LEED 2009 EBOM project 1000000231,,401096000,"2014, 2015, 2016, 2017, "
498,South Cove Plaza,Yes,Multifamily Housing,230 Stuart Street,2116,"221,146",58.8,Not Available,,Multifamily Housing,1983,876,4,"13,007,337.50",44.00%,56.00%,,57.9,,,,500800000,"2017, "
499,Exeter Theatre Corporation,Yes,Other - Education,26 Exeter Street,2116,"46,025",215.6,Not Available,,"Office, Other - Education, Other - Restaurant/Bar",1899,697.1,15.1,"9,922,394.00",53.00%,47.00%,,141.5,,"Parcel ID:	0501376000",,501376000,"2014, 2015, 2016, 2017, "
500,Shubert Theatre,Yes,Performing Arts,263-265 Tremont Steet,2116,"24,622",189,Not Available,,Performing Arts,1910,283.9,11.5,"4,653,347.60",24.40%,75.60%,,15.5,,,,500063000,"2016, 2017, "
501,Wang Theatre,Yes,Performing Arts,270 Tremont Street,2116,"88,434",27327180,Not Available,,Performing Arts,1925,"160,462,212.70",1814486,"2,416,651,847,232.30",0.00%,0.00%,100.00%,659.9,,,,305651000,"2016, 2017, "
502,The Copley Condominium,Yes,Multifamily Housing,271 Dartmouth St,2116,"53,000",60,55,,Multifamily Housing,1871,238.9,4.5,"3,177,484.20",68.30%,31.70%,,84.7,,Gross floor area was estimated using the total rentable area plus common areas.,,501312000,"2015, 2016, 2017, "
503,311nh-Boston Tremont Hotel Courtyard,Yes,Hotel,275 Tremont Street,2116,"209,999",104.4,28,,Hotel,2005,"1,513.90",7.2,"21,925,685.10",49.30%,50.70%,,66.7,,,,500065000,"2016, 2017, "
504,Beacon-Exeter Apartments,Yes,Multifamily Housing,282 Beacon St.,2116,"39,743",14.5,Not Available,,"Multifamily Housing, Parking",1900,48.5,1.2,"575,844.20",96.20%,3.80%,,9.8,,,,503271000,"2017, "
505,285 Columbus Ave LLC,Yes,Multifamily Housing,285 Columbus Primary CNDO,2116,"100,000",57.3,18,,Multifamily Housing,1911,441.6,4.4,"5,729,118.60",74.10%,25.90%,,18.6,,,,400548010,"2016, 2017, "
506,City Year,Yes,Office,287 Columbus Ave,2116,"64,540",58.3,86,"2016, 2015, 2014",Office,1930,299.7,4.6,"3,759,642.50",82.20%,17.80%,,9.3,,The person count for the building was increased in 2014. ,,400549000,"2014, 2015, 2016, 2017, "
507,29 Commonwealth Ave,Yes,Other,29 Commonwealth Ave,2116,"36,000",45.2,Not Available,,Other,1885,96.4,2.7,"1,627,209.00",26.10%,73.90%,,,,,,502875000,"2016, 2017, "
508,The Heritage on the Garden,Yes,Mixed Use Property,300 Boylston Street,2116,"357,614",93.1,14,,"Multifamily Housing, Office, Other, Other - Services, Parking, Restaurant",1988,"2,663.70",7.4,"33,286,148.00",83.20%,16.80%,,24.7,,"This is a mixed-use building.  87 condominiums, garage, office, retail space, spa and 2 restaurants.",,501170002,"2014, 2015, 2016, 2017, "
509,Bryant Back Bay,Yes,Other - Lodging/Residential,303 columbus ave,2116,"168,920",Not Available,Not Available,,Other - Lodging/Residential,2009, Not Available ,Not Available, Not Available ,,,,,,,,400554010,"2015, 2017, "
510,Park Square Building,Yes,Mixed Use Property,31 St. James Ave,2116,"500,000",55.4,100,,Office,1922,"1,676.80",3.4,"27,690,554.80",23.00%,77.00%,,,,,,501156000,"2014, 2015, 2016, 2017, "
511,Garrison Square,Yes,Multifamily Housing,32 Garrison Street,2116,"115,806",52.5,32,,Multifamily Housing,1985,519.8,4.5,"6,083,210.40",100.00%,,,68.4,,,,400972000,"2015, 2016, 2017, "
512,330 Beacon Street,Yes,Multifamily Housing,330 Beacon Street,2116,"138,000",Not Available,Not Available,,Multifamily Housing,1950, Not Available ,Not Available, Not Available ,,,,,,,,503289000,"2015, 2016, 2017, "
513,Arlington Boylston,Yes,Office,330-350 Boylston Street,2116,"63,054",98.4,64,,"Office, Other, Retail Store",1899,430.6,6.8,"6,204,530.70",26.60%,15.50%,57.90%,16.4,,,,501167000,"2014, 2015, 2016, 2017, "
514,Loews Boston Hotel,Yes,Hotel,350 Stuart Street,2116,"172,000",117.5,40,,Hotel,2004,"1,373.30",8,"20,206,158.00",45.90%,54.10%,,46.2,,,,401117000,"2014, 2015, 2016, 2017, "
515,New Mass Pike Towers,Yes,Multifamily Housing,366 Tremont Street,2116,"232,496",86.7,Not Available,,Multifamily Housing,1900,"1,196.40",5.1,"20,158,935.60",19.30%,80.70%,,67.1,,,,500270000,"2016, 2017, "
516,38 Newbury Street,Yes,Retail Store,38 Newbury Street,2116,"45,762",4.3,100,,"Office, Retail Store, Self-Storage Facility",1927,16.6,0.4,"194,804.30",100.00%,,,18.3,,,,501241000,"2016, 2017, "
517,380 Stuart Street,Yes,Office,380 Stuart Street,2116,"149,000",35.5,97,"2015, 2014, 2013, 2012, 2011, 2010, 2009",Office,1930,452.2,3,"5,292,093.90",100.00%,,0.00%,11.2,,LEED EBOM Project #1000006306,,401131000,"2014, 2015, 2016, 2017, "
518,Saint Francis House Inc,Yes,Office,39 Boylston St. ,2116,"86,000",70,Not Available,,"Office, Other",1900,399.4,4.6,"6,016,432.70",41.00%,59.00%,,35.6,,,,304878000,"2016, 2017, "
519,399 Boylston,Yes,Office,399 Boylston St,2116,"229,043",73.3,Not Available,,"Data Center, Office, Retail Store",1984,"1,433.70",6.3,"16,779,653.80",100.00%,,,10.3,,"***Data Center UPS output calculations are based upon the output kW as identified on the UPS system data screen capture.  This output is verified on a monthly basis to ensure accuracy of calculations.  Cost saving measures implemented:1. VFD's on Mammoth RTU supply and return fans.2. VFD's on Mammoth RTU condensing fans.3. VSD's on Trane supply fans.4. VFD's on Firetrol domestic water pumps.5. T12 to T8 base building lighting conversion.6. Saturday HVAC demand request.7. Occupancy sensors for office and common area.8. Low flow .5 gpm aerators on bathroom fixtures.9. RTU/fan powered box/VAV start-up time offset for peak demand reduction.10. BMS compressor 2nd stage differential - no cost implementation.11. OA Damper retrofit December 2013.12. Migration from vertical screw Hartford compressors to horizontal screw Hanbell compressors       with better loading/unloading capabilities.",,501230000,"2014, 2015, 2016, 2017, "
520,40 Berkeley Street,Yes,Hotel,40 Berkeley St,2116,"67,624",132.5,47,,Hotel,1899,511.8,7.6,"8,957,665.40",12.40%,87.60%,,36.3,," Note gross floor area is listed as 67,624 sq ft on Boston Tax Assessor Database.",,500865000,"2014, 2015, 2016, 2017, "
521,420 Boylston Street aka 414-426 Boylston Street && 211 Berkeley Street,Yes,Office,420 Boylston Street,2116,"128,641",52,92,,Office,1906,487,3.8,"6,694,264.90",60.70%,39.30%,,8.1,,"The BERDO aggregate electric data obtained from Eversource.  Water Usage: 2013 reporting:  period entered: 1/06/13-1/05/14 (171,850 cubic feet), 2014 reporting: 1/05/14-1/04/15 (176,890 cubic feet), 2015 reporting : 1/04/2015-1/11/2016 (146,600 cubic feet), 2016 reporting:1/11/16-1/12/17 (139,180 cubic feet) based on the billing cycles from BWSC.  For 2013 Gas Usage period: 1/3/13-1/8/14 (29,594 therms), for 2014 period: 1/8/14-1/6/15 (29,393 therms), for 2015 period: 1/6/15-1/05/16 (30,462 therms), for 2016 period 1/05/16- 1/5/17 based on billing cycle from National Grid.  Default values were used for the number of computers, operating hours and # of workers on main shift.  Although the majority of tenants in the office portion of the building are have normal operating hours of 45-50 hours per week,  the various retail tenants on the ground floor are opened 60-90 hours per week and their usage is also reflected in the total building data.",,501157000,"2014, 2015, 2016, 2017, "
522,Boston Common Hotel,Yes,Hotel,430 Stuart St.,2116,"84,180",70.5,32,,Hotel,1925,452.3,5.4,"5,931,006.90",52.20%,0.70%,47.10%,46.5,,,,401084010,"2014, 2015, 2016, 2017, "
523,441 stuart st,Yes,Office,441 stuart st,2116,"164,124",45.8,84,,"Fitness Center/Health Club/Gym, Office, Parking",1937,628.8,3.8,"7,515,559.50",94.50%,5.50%,,23.3,,,,401088000,"2014, 2015, 2016, 2017, "
524,MA044_AVA Theater District,Yes,Multifamily Housing,45 Stuart St,2116,"498,885",47.6,70,,"Multifamily Housing, Parking",2015,"1,726.90",3.5,"23,737,207.70",60.70%,39.30%,,16.3,,,,304910020,"2017, "
525,234 Berkeley Street,Yes,Retail Store,463 Boylston Street,2116,"44,000",90,47,,Retail Store,1863,271.3,6.2,"3,960,978.50",65.20%,34.80%,,11,,,,501295000,"2017, "
526,Methunion,Yes,Multifamily Housing,465 Columbus Avenue,2116,"42,998",125.1,44,,"Multifamily Housing, Retail Store",1971,309,7.2,"5,378,949.50",13.40%,86.60%,,46.4,,Address listed on the Tax Assessor Database as 6 4 BRADDOCK PK - Parcel ID 400790000 ,,400790000,"2015, 2016, 2017, "
527,Copley Square Hotel,Yes,Hotel,47 Huntington Ave,2116,"95,414",96.6,50,,Hotel,1891,636.8,6.7,"9,220,001.00",49.30%,50.70%,,49.5,,,,401056000,"2015, 2016, 2017, "
528,SFH-48 Boylston St. LLC,Yes,Other,48 Boylston St. ,2116,"85,000",18,Not Available,,Other,1850,93.9,1.1,"1,527,780.70",25.90%,74.10%,,0.4,,,,304893000,"2016, 2017, "
529,Castle Square,Yes,Multifamily Housing,484 Tremont St,2116,"531,506",73.9,84,2014,Multifamily Housing,1965,"2,328.00",4.4,"39,284,868.20",19.00%,81.00%,,65.1,,,,"0500478002	0500550001	0500590000","2015, 2016, 2017, "
530,Quincy Towers,Yes,Multifamily Housing,5 Oak Street West,2116,"123,197",122.8,37,,Multifamily Housing,1977,847.3,6.9,"15,134,531.00",8.90%,91.10%,,67.7,,,,305550000,"2015, 2016, 2017, "
531,Five Hundred Boylston Street,Yes,Office,500 Boylston St.,2116,"744,169",58.1,86,"2016, 2015, 2014, 2010, 2009, 2008, 2002, 2000","Office, Parking, Retail Store",1987,"3,695.80",5,"43,254,304.50",100.00%,,,16.1,,,,401092000,"2014, 2015, 2016, 2017, "
532,501 Boylston,Yes,Office,501 Boylston Street,2116,"682,117",85.8,84,"2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2007, 2005","Bank Branch, Office, Other, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc.), Retail Store, Swimming Pool",1940,"4,041.50",5.9,"58,539,439.70",49.30%,50.70%,,13.5,,,,0501296002 0501296004 0501296006,"2014, 2015, 2016, 2017, "
533,Atelier 505,Yes,Multifamily Housing,505 Tremont St,2116,"224,000",128.9,1,,Multifamily Housing,2004,"2,030.20",9.1,"28,866,166.10",53.30%,46.70%,,29,,,,500815020,"2016, 2017, "
534,50 Commonwealth Avenue,Yes,Multifamily Housing,50-52 Commonwealth Ave,2116,"7,740",420.3,15,,Multifamily Housing,1985,175.7,22.7,"3,252,856.00",2.80%,97.20%,,,,,,501278000,"2017, "
535,535 Boylston Street,Yes,Office,535 Boylston Street,2116,"104,036",57.3,94,,Office,1963,432.6,4.2,"5,965,186.80",32.90%,1.00%,66.10%,15.6,,,,501297000,"2014, 2016, 2017, "
536,543-547 Washington Street,Yes,College/University,543-547 Washington Street,2116,"146,942",182.5,Not Available,,College/University,2010,"1,994.40",13.6,"26,819,066.70",46.20%,6.30%,47.50%,45.1,,"Temporary values were entered for detailed property use, definitive numbers will be updates as soon as they become available.",,304839010,"2014, 2015, 2016, 2017, "
537,545 Boylston Street,Yes,Office,545 Boylston Street,2116,"97,790",70.9,79,,Office,1972,525.6,5.4,"6,932,443.30",49.50%,,50.50%,3.1,,,,501298000,"2014, 2016, 2017, "
538,56 & 60 Commonwealth Condominium,Voluntary,Multifamily Housing,56 and 60 Commonwealth,2116,"17,839",25.6,100,,"Multifamily Housing, Parking",1929,35.6,2,"456,016.80",77.40%,22.60%,,34.3,,,,501274000,"2017, "
539,573 575 Boylston Street,Yes,Office,575 Boylston Street,2116,"36,801",108.1,4,,Office,1910,339.9,9.2,"3,977,960.10",100.00%,,,2.7,,,,501305000,"2016, 2017, "
540,607 Boylston Street Associates,Yes,Office,607 Boylston Street,2116,"49,140",96.1,58,,Office,1965,322.5,6.6,"4,723,491.20",46.90%,53.10%,,12.5,,,,501308000,"2016, 2017, "
541,Lenox Hotel,Yes,Hotel,61 Exeter Street,2116,"134,852",86.2,81,,"Hotel, Restaurant",1900,817.1,6.1,"11,628,776.10",53.10%,46.90%,,61.1,,,,401038000,"2017, "
542,Old South Church in Boston,Yes,Worship Facility,645 Boylston Street,2116,"54,860",52.4,Not Available,,Worship Facility,1875,199.8,3.6,"2,875,025.40",50.70%,49.30%,,0.8,,,,501387000,"2014, 2015, 2016, 2017, "
543,Dudley Branch,Municipal ,Library,65 Warren St,2116,"25,933",120.1,Not Available,,Library,2000,199.1,7.7,"3,114,961.90",33.40%,66.60%,,,,,,1201180000,"2016, 2017, "
544,First Church in Boston,Yes,Worship Facility,66 Marlborough St.,2116,"35,776",63.6,Not Available,,"Other - Entertainment/Public Assembly, Parking",1972,135.4,3.8,"2,276,327.20",19.70%,80.30%,,6.9,,,,502873000,"2016, 2017, "
545,699 Boylston St,Yes,Office,699 Boylston St,2116,"211,351",50.8,84,2016,"Bank Branch, Office, Other, Retail Store",1983,917.4,4.3,"10,736,867.50",100.00%,,,12,,,,501397000,"2014, 2015, 2016, 2017, "
546,Copley Branch (Johnson / McKim),Municipal ,Library,700 Bolyston Street,2116,"930,000",96,Not Available,,Library,2000,"6,609.80",7.1,"89,296,487.20",40.00%,,60.00%,,,,,401052000,"2016, 2017, "
547,The Lenox Hotel,Yes,Hotel,710 Boylston Street,2116,"130,410",125.2,70,"2007, 2004",Hotel,1900,"1,097.70",8.4,"16,320,987.90",43.70%,56.30%,,65.5,,,,401038000,"2014, 2015, 2016, 2017, "
548,745,Yes,Mixed Use Property,745 Boylston Street,2116,"98,500",14.9,Not Available,,"Office, Parking, Restaurant, Retail Store",1988,451.3,1.1,"5,886,600.50",100.00%,,,57.1,,,,503207100,"2017, "
549,75 Arlington Street,Yes,Office,75 Arlington Street,2116,"269,327",52.1,91,2016,"Office, Other, Restaurant",1913,"1,120.30",4.2,"14,029,305.40",82.70%,17.30%,,9.2,,,,501151000,"2014, 2015, 2016, 2017, "
550,"755 Boylston, LLC",Yes,Mixed Use Property,755 Boylston Street,2116,"54,384",99.2,Not Available,,"Multifamily Housing, Restaurant",1860,397.1,7.3,"5,396,097.70",63.30%,36.70%,,27.8,,,,503207200,"2015, 2016, 2017, "
551,Boylston and Gloucester LLC,Yes,Mixed Use Property,761 Boylston Street,2116,"55,720",305.3,Not Available,,"Restaurant, Retail Store",1905,"1,178.10",21.1,"17,008,799.00",50.00%,50.00%,,119.7,,,,503210000,"2015, 2017, "
552,MA036_Avalon Exeter,Yes,Multifamily Housing,77 Exeter Street,2116,"268,850",49.3,30,,Multifamily Housing,2014,"1,055.40",3.9,"13,258,304.00",81.90%,18.10%,,20.8,,Building first occupied April 2014,,401037085,"2015, 2016, 2017, "
553,Garrison Condominium,Yes,Multifamily Housing,8 Garrison St,2116,"73,000",62.1,96,,Multifamily Housing,1900,264.5,3.6,"4,536,368.90",16.10%,83.90%,,45.7,,Gross floor area was estimated using the total rentable area plus common areas.,,401011000,"2015, 2016, 2017, "
554,Boston Common Maitenance Shed,Municipal ,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",80 A Op Boylston St,2116,100,Not Available,Not Available,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2001, Not Available ,Not Available, Not Available ,,,,1304,,,,500812000,"2016, 2017, "
555,80 Boylston St./ The Little Building,Yes,Residence Hall/Dormitory,80 Boylston Street,2116,"216,877",Not Available,Not Available,,Residence Hall/Dormitory,1917, -   ,0, Not Available ,,,,,,,,500001001,"2014, 2015, 2016, 2017, "
556,Eversource Energy Sta 71,Yes,Energy/Power Station,80-84 Warrenton Street,2116,"40,500",Not Available,Not Available,,Energy/Power Station,1945, -   ,0, Not Available ,,,,0.8,,This property is an electric substation owned and operated by Eversource.  Electricity use is not metered and there is no natural gas use.,,500082000,"2016, 2017, "
557,855 Boylston Street-Gateway Longwood,Yes,Office,855 Boylston,2116,"155,775",59.1,84,"2016, 2015, 2012","Office, Parking, Retail Store",1985,786.8,5.1,"9,208,779.40",100.00%,,,7.9,,,,03134-000,"2014, 2015, 2016, 2017, "
558,St Germain,Yes,Multifamily Housing,8-67 St Germain Street,2116,"159,042",19.9,100,,Multifamily Housing,1900,253.4,1.6,"3,165,440.30",83.30%,16.70%,,41.9,,,,401229000,"2015, 2016, 2017, "
559,MCKINLEY MACKEY,Municipal ,K-12 School,90 Warren Ave.,2116,"78,258",59.1,93,,K-12 School,1959,267.6,3.4,"4,628,266.10",14.50%,85.50%,,,,,,400212000,"2016, 2017, "
